Username,EnterpriseID,StatusPernikahan,JenisKelamin,StatusKepegawaian,Pekerjaan,JenjangKarir,PerformancePegawai,AsalDaerah,HiringPlatform,SkorSurveyEngagement,SkorKepuasanPegawai,JumlahKeikutsertaanProjek,JumlahKeterlambatanSebulanTerakhir,JumlahKetidakhadiran,NomorHP,Email,TingkatPendidikan,PernahBekerja,IkutProgramLOP,AlasanResign,TanggalLahir,TanggalHiring,TanggalPenilaianKaryawan,TanggalResign
fondDoughnut4,110646,Bercerai,Wanita,FullTime,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Timur,CareerBuilder,2,5.0,0.0,0.0,15.0,+6289864418xxx,fondDoughnut4927@outlook.com,Sarjana,1,,masih_bekerja,1986-10-07,2012-04-02,2020-2-19,-
wingedPoultry2,105419,Bercerai,Wanita,FullTime,Software Engineer (Back End),Mid_level,Sangat_bagus,Jakarta Pusat,Google_Search,3,4.0,0.0,0.0,6.0,+6283263626xxx,wingedPoultry2087@hotmail.com,Magister,1,,internal_conflict,1990-08-24,2012-04-02,2014-03-04,2018-5-17
grumpyCow6,100597,Menikah,Pria,FullTime,Software Engineer (Back End),Freshgraduate_program,Sangat_bagus,Jakarta Pusat,Indeed,3,4.0,3.0,2.0,2.0,+6289763743xxx,grumpyCow6508@icloud.com,Sarjana,1,,masih_bekerja,1988-04-15,2018-07-09,2020-1-31,-
somberJerky8,100992,Lainnya,Pria,Outsource,Scrum Master,Freshgraduate_program,Kurang,Jakarta Barat,CareerBuilder,3,4.0,0.0,0.0,9.0,+6285581609xxx,somberJerky8901@icloud.com,Magister,1,,masih_bekerja,1959-08-19,2011-11-07,2019-2-14,-
boredHyena0,101306,Menikah,Wanita,Outsource,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Timur,LinkedIn,4,3.0,0.0,0.0,17.0,+6285758275xxx,boredHyena0206@hotmail.com,Sarjana,1,,masih_bekerja,1952-02-11,2012-5-14,2014-07-02,-
gloomyClam6,100919,Belum_menikah,Pria,FullTime,Software Engineer (Back End),Freshgraduate_program,Kurang,Jakarta Timur,Indeed,2,5.0,0.0,0.0,9.0,+6285908172xxx,gloomyClam6755@gmail.com,Doktor,1,,jam_kerja,1988-09-14,2014-8-18,2020-1-30,2015-6-24
joyfulBuzzard8,106638,Menikah,Pria,FullTime,Software Engineer (Android),Senior_level,Bagus,Jakarta Barat,Google_Search,4,5.0,0.0,0.0,10.0,+6287829760xxx,joyfulBuzzard8100@gmail.com,Magister,1,,ganti_karir,1982-10-07,2015-01-05,2020-1-24,2015-01-09
curiousBaboon5,105429,Belum_menikah,Pria,FullTime,Software Engineer (Front End),Mid_level,Sangat_bagus,Jakarta Utara,Google_Search,3,3.0,0.0,0.0,9.0,+6281830594xxx,curiousBaboon5744@icloud.com,Sarjana,1,,tidak_bisa_remote,1983-07-28,2014-9-29,2020-02-01,2020-8-19
cockyBuzzard5,110932,Menikah,Wanita,FullTime,Software Engineer (Android),Freshgraduate_program,Bagus,Jakarta Pusat,LinkedIn,3,4.0,0.0,0.0,19.0,+6289794136xxx,cockyBuzzard5324@proton.com,Sarjana,1,,masih_bekerja,1966-03-17,2014-05-05,2020-1-21,-
insecureClam1,100760,Bercerai,Pria,FullTime,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Selatan,Indeed,4,5.0,5.0,0.0,15.0,+6289791534xxx,insecureClam1801@proton.com,Sarjana,1,,masih_bekerja,1980-07-05,2011-4-15,2020-01-07,-
forsakenWidgeon8,100639,Lainnya,Wanita,FullTime,Software Engineer (Front End),Mid_level,Sangat_kurang,Jakarta Barat,Website,1,1.0,0.0,2.0,17.0,+6283347244xxx,forsakenWidgeon8050@proton.com,Sarjana,1,,masih_bekerja,1987-05-14,2012-2-20,2020-1-29,-
peskyFlamingo7,111049,Bercerai,Pria,FullTime,Software Engineer (Front End),Freshgraduate_program,Sangat_kurang,Jakarta Timur,Indeed,3,3.0,0.0,0.0,17.0,+6285710742xxx,peskyFlamingo7657@proton.com,Sarjana,1,,masih_bekerja,1980-02-02,2011-01-10,2020-1-21,-
worldlyPaella8,111157,Belum_menikah,Wanita,FullTime,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Pusat,LinkedIn,3,4.0,0.0,0.0,14.0,+6285508465xxx,worldlyPaella8406@yahoo.com,Sarjana,1,,masih_bekerja,1986-07-07,2014-01-06,2020-2-26,-
lazyPorpoise0,100957,Belum_menikah,Wanita,FullTime,Data Engineer,Mid_level,Kurang,Jakarta Pusat,Google_Search,3,3.0,0.0,0.0,18.0,+6281937385xxx,lazyPorpoise0172@yahoo.com,Sarjana,1,,masih_bekerja,1976-09-22,2011-2-21,2014-02-01,-
brainyFish3,111083,Menikah,Pria,Outsource,Data Analyst,Freshgraduate_program,Sangat_bagus,Jakarta Barat,Google_Search,3,3.0,0.0,0.0,20.0,+6285960968xxx,brainyFish3571@hotmail.com,Sarjana,1,,toxic_culture,1984-05-09,2012-04-02,2014-2-20,2018-06-08
sincereSeafowl4,110793,Belum_menikah,Wanita,FullTime,Software Engineer (Back End),Senior_level,Sangat_kurang,Jakarta Barat,Diversity_Job_Fair,3,4.0,0.0,0.0,2.0,+6285756514xxx,sincereSeafowl4749@hotmail.com,Sarjana,1,,jam_kerja,1970-05-15,2011-11-07,2017-4-29,2018-11-15
jumpyTomatoe4,105969,Belum_menikah,Wanita,Outsource,Software Engineer (Front End),Senior_level,Sangat_bagus,Jakarta Barat,Indeed,4,3.0,0.0,0.0,14.0,+6285778884xxx,jumpyTomatoe4555@gmail.com,Magister,1,0.0,toxic_culture,1991-01-28,2013-8-19,2020-1-14,2017-09-05
scornfulBoa6,111235,Belum_menikah,Wanita,FullTime,Data Analyst,Freshgraduate_program,Bagus,Jakarta Timur,Indeed,3,3.0,0.0,0.0,1.0,+6281335006xxx,scornfulBoa6602@yahoo.com,Sarjana,1,,,1970-04-24,2013-5-13,2020-1-14,-
troubledThrushe9,101192,-,Wanita,FullTime,Data Analyst,Freshgraduate_program,Bagus,Jakarta Barat,CareerBuilder,4,3.0,0.0,0.0,20.0,+6281801928xxx,troubledThrushe9146@proton.com,Sarjana,1,,toxic_culture,1987-01-07,2013-01-07,2020-1-30,2014-8-19
finickyRat1,100610,Belum_menikah,Wanita,FullTime,Software Engineer (Android),Freshgraduate_program,Bagus,Jakarta Timur,CareerBuilder,3,5.0,5.0,0.0,8.0,+6283263312xxx,finickyRat1900@icloud.com,Sarjana,1,,masih_bekerja,1979-07-05,2012-01-09,2020-1-25,-
jealousIguana3,111209,Belum_menikah,Wanita,FullTime,Data Analyst,Freshgraduate_program,Biasa,Jakarta Timur,CareerBuilder,4,4.0,0.0,0.0,10.0,+6283373813xxx,jealousIguana3026@gmail.com,Sarjana,1,0.0,toxic_culture,1976-09-22,2015-3-30,2020-1-21,2014-8-19
mildAbalone7,100350,Menikah,Pria,FullTime,Product Design (UI & UX),Freshgraduate_program,Sangat_kurang,Jakarta Pusat,On-line_Web_application,4,5.0,0.0,0.0,1.0,+6285741068xxx,mildAbalone7337@hotmail.com,Sarjana,1,,masih_bekerja,1977-07-15,2012-9-24,2018-03-02,-
ferventRhino1,110652,Bercerai,Wanita,FullTime,DevOps Engineer,Freshgraduate_program,Sangat_kurang,Jakarta Pusat,Employee_Referral,3,4.0,6.0,0.0,16.0,+6289907753xxx,ferventRhino1271@outlook.com,Sarjana,1,,masih_bekerja,1988-07-18,2015-01-05,2020-2-25,-
thriftyHare2,101407,Lainnya,Wanita,FullTime,Software Engineer (Back End),Senior_level,Biasa,Jakarta Pusat,Indeed,3,5.0,0.0,0.0,16.0,+6285581511xxx,thriftyHare2990@gmail.com,Sarjana,1,,masih_bekerja,1970-09-22,2012-9-24,2014-04-02,-
joyfulVenison6,101389,Belum_menikah,Pria,FullTime,Software Engineer (Back End),Mid_level,Sangat_bagus,Jakarta Utara,Google_Search,3,3.0,0.0,0.0,15.0,+6283227259xxx,joyfulVenison6060@gmail.com,Sarjana,1,,ganti_karir,1981-11-23,2007-11-05,2020-2-25,2013-5-30
eagerHoopoe7,111290,Lainnya,Wanita,FullTime,Product Design (UI & UX),Freshgraduate_program,Biasa,Jakarta Utara,Indeed,4,5.0,0.0,0.0,2.0,+6285982568xxx,eagerHoopoe7199@hotmail.com,Sarjana,1,,masih_bekerja,1989-03-31,2013-07-08,2020-1-25,-
selfishBurritos1,101037,Bercerai,Wanita,FullTime,Scrum Master,Freshgraduate_program,Sangat_bagus,Jakarta Timur,Google_Search,3,4.0,0.0,0.0,6.0,+6283181215xxx,selfishBurritos1329@hotmail.com,Sarjana,1,,masih_bekerja,1970-10-08,2011-9-26,2014-1-30,-
wingedLeopard7,106436,Lainnya,Wanita,FullTime,Software Engineer (Front End),Mid_level,Biasa,Jakarta Pusat,Google_Search,4,5.0,0.0,0.0,55.0,+6289913280xxx,wingedLeopard7878@hotmail.com,Sarjana,1,,masih_bekerja,1973-01-12,2011-11-28,2020-02-11,-
zestyTermite5,105558,Menikah,Wanita,FullTime,Software Engineer (Front End),Senior_level,Bagus,Jakarta Timur,Indeed,4,5.0,0.0,0.0,6.0,+6283215136xxx,zestyTermite5310@yahoo.com,Magister,1,,masih_bekerja,1977-03-31,2015-01-05,2020-2-14,-
contentAbalone0,101331,Belum_menikah,Wanita,Outsource,Software Engineer (Front End),Freshgraduate_program,Biasa,Jakarta Pusat,Google_Search,4,4.0,0.0,0.0,7.0,+6282255326xxx,contentAbalone0699@icloud.com,Sarjana,1,0.0,masih_bekerja,1979-05-01,2011-02-07,2014-03-04,-
cruelGnu6,106599,Bercerai,Wanita,FullTime,Software Engineer (Back End),Senior_level,Sangat_bagus,Jakarta Barat,LinkedIn,4,5.0,0.0,0.0,15.0,+6281209169xxx,cruelGnu6026@gmail.com,Sarjana,1,,masih_bekerja,1975-09-30,2012-10-02,2020-2-14,-
mildBuck3,106697,Belum_menikah,Pria,FullTime,Software Engineer (Front End),Freshgraduate_program,Sangat_bagus,Jakarta Timur,CareerBuilder,4,3.0,5.0,0.0,11.0,+6281832158xxx,mildBuck3345@outlook.com,Magister,1,,tidak_bisa_remote,1988-05-05,2015-01-05,2016-4-15,2016-01-11
brainyMagpie7,101264,Bercerai,Pria,FullTime,Product Design (UI & UX),Freshgraduate_program,Kurang,Jakarta Barat,Indeed,4,3.0,6.0,0.0,17.0,+6285946196xxx,brainyMagpie7608@proton.com,Magister,1,,masih_bekerja,1970-04-25,2017-02-10,2020-2-25,-
crushedLollies6,105488,Menikah,Pria,FullTime,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Pusat,Indeed,3,5.0,7.0,0.0,8.0,+6289900398xxx,crushedLollies6670@outlook.com,Magister,1,,kejelasan_karir,1972-02-09,2016-09-06,2020-1-15,2016-10-31
puzzledBurritos7,111373,Belum_menikah,Wanita,Outsource,Software Engineer (Android),Mid_level,Kurang,Jakarta Timur,LinkedIn,3,,,0.0,14.0,+6281254157xxx,puzzledBurritos7565@icloud.com,Sarjana,1,,masih_bekerja,1979-03-10,2012-04-02,2020-1-14,-
dopeyBass1,100398,Lainnya,Wanita,Outsource,Software Engineer (Back End),Freshgraduate_program,Sangat_kurang,Jakarta Utara,Google_Search,3,5.0,0.0,0.0,5.0,+6283144061xxx,dopeyBass1665@proton.com,Magister,1,,masih_bekerja,1967-01-16,2011-01-10,2015-03-04,-
dearKitten3,111266,Belum_menikah,Pria,FullTime,Product Design (UI & UX),Freshgraduate_program,Sangat_bagus,Jakarta Utara,Diversity_Job_Fair,3,3.0,0.0,0.0,19.0,+6289679074xxx,dearKitten3235@yahoo.com,Sarjana,1,,Product Design (UI & UX),1989-05-02,2011-9-26,2014-03-02,2017-12-15
cruelWidgeon9,106608,Bercerai,Wanita,FullTime,Software Engineer (Front End),Freshgraduate_program,Bagus,Jakarta Utara,Google_Search,3,4.0,0.0,0.0,9.0,+6281287214xxx,cruelWidgeon9579@hotmail.com,Sarjana,1,,masih_bekerja,1982-08-25,2011-01-10,2020-02-07,-
crushedRaisins0,100899,Lainnya,Wanita,FullTime,Software Engineer (Back End),Mid_level,Bagus,Jakarta Timur,CareerBuilder,4,4.0,0.0,0.0,8.0,+6283805300xxx,crushedRaisins0204@gmail.com,Magister,1,,masih_bekerja,1952-08-18,2012-01-09,2016-05-02,-
scornfulDove3,101662,Lainnya,Wanita,FullTime,Data Engineer,Freshgraduate_program,Sangat_kurang,Jakarta Utara,Google_Search,4,3.0,0.0,0.0,3.0,+6285710367xxx,scornfulDove3185@gmail.com,Sarjana,1,,jam_kerja,1953-05-24,2011-5-16,2018-4-18,2015-6-18
brainyGranola0,111427,Belum_menikah,Pria,Outsource,Software Engineer (Android),Mid_level,Biasa,Jakarta Selatan,CareerBuilder,4,3.0,0.0,0.0,4.0,+6281268533xxx,brainyGranola0883@gmail.com,Doktor,1,,masih_bekerja,1954-10-12,2014-05-12,2020-1-28,-
soreEggs6,105592,Lainnya,Pria,FullTime,Software Engineer (Android),Freshgraduate_program,Sangat_kurang,Jakarta Timur,LinkedIn,4,4.0,0.0,0.0,6.0,+6287725725xxx,soreEggs6451@yahoo.com,Magister,1,,kejelasan_karir,1979-09-14,2011-11-07,2020-2-27,2014-04-07
jubilantTruffle2,111366,Bercerai,Wanita,Outsource,Software Engineer (Back End),Mid_level,Bagus,Jakarta Selatan,Indeed,3,5.0,0.0,0.0,6.0,+6282254352xxx,jubilantTruffle2009@proton.com,Doktor,1,,masih_bekerja,1977-05-09,2010-10-25,2016-03-05,-
tautTacos4,105986,Bercerai,Wanita,FullTime,Software Engineer (Front End),Freshgraduate_program,Kurang,Jakarta Selatan,LinkedIn,4,5.0,0.0,0.0,9.0,+6289717407xxx,tautTacos4135@hotmail.com,Sarjana,1,,masih_bekerja,1964-04-13,2014-01-06,2020-1-21,-
stressedBittern3,110774,Belum_menikah,Wanita,Outsource,Data Engineer,Freshgraduate_program,Sangat_bagus,Jakarta Pusat,LinkedIn,3,4.0,5.0,0.0,1.0,+6285838402xxx,stressedBittern3064@yahoo.com,Magister,1,,apresiasi,1968-07-06,2010-05-01,2020-02-01,2017-4-15
sheepishWidgeon1,101510,Belum_menikah,Wanita,Outsource,Software Engineer (iOS),Mid_level,Bagus,Jakarta Selatan,Diversity_Job_Fair,1,4.0,0.0,5.0,4.0,+6289832939xxx,sheepishWidgeon1917@outlook.com,Magister,1,,masih_bekerja,1968-06-06,2016-07-04,2020-2-18,-
grudgingMuesli6,106109,Lainnya,Pria,FullTime,Software Engineer (Front End),Freshgraduate_program,Sangat_bagus,Jakarta Pusat,Website,4,3.0,0.0,0.0,16.0,+6289724050xxx,grudgingMuesli6971@icloud.com,Sarjana,1,,masih_bekerja,1988-12-27,2012-4-30,2020-1-29,-
resolvedMoth3,111569,Belum_menikah,Pria,Outsource,Data Engineer,Freshgraduate_program,Sangat_bagus,Jakarta Selatan,Diversity_Job_Fair,1,4.0,0.0,2.0,16.0,+6283203119xxx,resolvedMoth3943@yahoo.com,Sarjana,1,,masih_bekerja,1984-08-16,2014-5-18,2020-1-16,-
lovesickRhino0,105734,Belum_menikah,Pria,FullTime,Software Engineer (Back End),Freshgraduate_program,Sangat_bagus,Jakarta Timur,LinkedIn,1,3.0,6.0,3.0,2.0,+6287885203xxx,lovesickRhino0235@hotmail.com,Sarjana,1,,tidak_bahagia,1987-06-18,2015-3-30,2020-02-04,2015-04-01
mellowCheese4,101130,Bercerai,Wanita,Outsource,Software Engineer (Front End),Mid_level,Kurang,Jakarta Utara,Diversity_Job_Fair,4,4.0,5.0,0.0,14.0,+6289720470xxx,mellowCheese4272@gmail.com,Sarjana,1,,tidak_bahagia,1988-10-05,2011-1-21,2020-1-25,2014-9-24
thriftyMoth4,101511,Lainnya,Pria,FullTime,Software Engineer (Back End),Freshgraduate_program,Kurang,Jakarta Selatan,Google_Search,3,5.0,0.0,0.0,7.0,+6289570871xxx,thriftyMoth4270@icloud.com,Sarjana,1,,masih_bekerja,1974-12-21,2009-01-05,2019-02-05,-
gleefulKitten1,106347,Belum_menikah,Pria,FullTime,Software Engineer (Back End),Freshgraduate_program,Sangat_bagus,Jakarta Pusat,Google_Search,3,5.0,0.0,4.0,15.0,+6287713961xxx,gleefulKitten1142@outlook.com,Sarjana,1,,masih_bekerja,1988-03-17,2011-01-10,2018-04-06,-
selfishApples3,110842,Belum_menikah,Wanita,Outsource,Software Engineer (Back End),Senior_level,Sangat_bagus,Jakarta Timur,Employee_Referral,4,4.0,5.0,0.0,11.0,+6289591398xxx,selfishApples3642@hotmail.com,Magister,1,,masih_bekerja,1981-04-16,2015-01-05,2020-1-28,-
brainyBittern0,106446,Lainnya,Pria,FullTime,Software Engineer (Front End),Freshgraduate_program,Sangat_bagus,Jakarta Timur,Indeed,3,5.0,0.0,0.0,13.0,+6281271727xxx,brainyBittern0336@icloud.com,Doktor,1,,masih_bekerja,1972-07-03,2011-07-05,2013-01-06,-
dreadfulKitten0,101635,Menikah,Wanita,Outsource,Software Engineer (Android),Senior_level,Sangat_kurang,Jakarta Selatan,Indeed,3,4.0,0.0,0.0,12.0,+6285595323xxx,dreadfulKitten0985@proton.com,Sarjana,1,,masih_bekerja,1978-03-28,2009-01-08,2020-1-24,-
obsessedSwift1,100561,Menikah,Pria,FullTime,Software Engineer (Front End),Freshgraduate_program,Sangat_bagus,Jakarta Pusat,Indeed,2,3.0,6.0,0.0,2.0,+6281205790xxx,obsessedSwift1187@outlook.com,Sarjana,1,,tidak_bisa_remote,1986-08-26,2015-3-30,2020-1-22,2020-4-29
cautiousPonie3,105711,Bercerai,Wanita,FullTime,Software Engineer (Front End),Freshgraduate_program,Bagus,Jakarta Timur,LinkedIn,3,5.0,0.0,0.0,17.0,+6285896821xxx,cautiousPonie3736@gmail.com,Magister,1,,masih_bekerja,1978-09-22,2014-07-07,2020-2-22,-
forsakenAntelope5,105923,Belum_menikah,Wanita,FullTime,Software Engineer (Back End),Senior_level,Bagus,Jakarta Pusat,Indeed,2,5.0,0.0,0.0,16.0,+6287890050xxx,forsakenAntelope5142@gmail.com,Sarjana,1,,masih_bekerja,1984-02-16,2011-8-15,2013-03-05,-
ferventAbalone7,105357,Belum_menikah,Wanita,FullTime,Product Design (UI & UX),Senior_level,Bagus,Jakarta Timur,Employee_Referral,3,3.0,0.0,0.0,16.0,+6282250643xxx,ferventAbalone7081@proton.com,Sarjana,1,,tidak_bahagia,1966-04-17,2016-7-21,2020-1-14,2018-04-01
brainyLlama9,100884,Menikah,Wanita,FullTime,Software Engineer (Front End),Freshgraduate_program,Sangat_bagus,Jakarta Timur,LinkedIn,3,5.0,0.0,0.0,20.0,+6285503547xxx,brainyLlama9557@gmail.com,Sarjana,1,,Product Design (UI & UX),1969-02-09,2012-03-07,2014-02-01,2016-4-24
unhappyPorpoise4,110481,Menikah,Wanita,FullTime,Software Engineer (Back End),Mid_level,Bagus,Jakarta Utara,Google_Search,4,4.0,0.0,0.0,11.0,+6283315810xxx,unhappyPorpoise4277@proton.com,Magister,1,,masih_bekerja,1951-01-02,2014-9-29,2020-02-12,-
pridefulBuck8,106483,Lainnya,Wanita,Outsource,Software Engineer (Android),Mid_level,Bagus,Jakarta Utara,Website,4,4.0,0.0,0.0,8.0,+6289968388xxx,pridefulBuck8335@icloud.com,Sarjana,1,,masih_bekerja,1974-12-05,2014-01-06,2020-1-31,-
enviousMacaw4,111591,Menikah,Wanita,FullTime,Software Engineer (Front End),Senior_level,Biasa,Jakarta Timur,Indeed,1,2.0,1.0,6.0,20.0,+6285732429xxx,enviousMacaw4523@icloud.com,Sarjana,1,,masih_bekerja,1968-07-20,2012-2-20,2020-2-25,-
joyfulMacaw9,100906,Lainnya,Pria,FullTime,Software Engineer (Front End),Mid_level,Sangat_bagus,Jakarta Barat,Google_Search,3,4.0,0.0,0.0,1.0,+6289558729xxx,joyfulMacaw9993@yahoo.com,Sarjana,1,,tidak_bisa_remote,1984-01-04,2012-8-13,2020-02-11,2017-06-04
crummyPolenta1,111326,Belum_menikah,Pria,Outsource,Software Engineer (Front End),Freshgraduate_program,Sangat_bagus,Jakarta Utara,Website,4,5.0,0.0,0.0,18.0,+6282234371xxx,crummyPolenta1401@icloud.com,Magister,1,,tidak_bisa_remote,1982-05-19,2015-01-05,2020-1-14,2016-01-09
jealousPlover2,106294,Belum_menikah,Wanita,FullTime,Software Engineer (Front End),Freshgraduate_program,Bagus,Jakarta Selatan,LinkedIn,2,5.0,0.0,0.0,4.0,+6289993369xxx,jealousPlover2299@hotmail.com,Sarjana,1,,masih_bekerja,1984-07-07,2013-07-08,2020-01-02,-
emptyMussel0,106605,Belum_menikah,Wanita,FullTime,Software Engineer (Back End),Senior_level,Biasa,Jakarta Timur,LinkedIn,3,4.0,0.0,0.0,16.0,+6283349250xxx,emptyMussel0325@outlook.com,Doktor,1,,masih_bekerja,1973-03-26,2013-5-13,2016-03-02,-
joyfulCod3,100801,Lainnya,Pria,FullTime,Software Engineer (Front End),Freshgraduate_program,Bagus,Jakarta Pusat,Diversity_Job_Fair,4,4.0,0.0,3.0,15.0,+6287886819xxx,joyfulCod3447@yahoo.com,Sarjana,1,,masih_bekerja,1974-08-09,2012-04-02,2016-1-20,-
worldlyCow6,101422,Menikah,Pria,FullTime,Software Engineer (Back End),Mid_level,Bagus,Jakarta Pusat,Indeed,2,5.0,0.0,0.0,19.0,+6281908593xxx,worldlyCow6773@gmail.com,Magister,1,,masih_bekerja,1984-12-31,2011-9-26,2019-02-04,-
debonairChile3,110471,Belum_menikah,Wanita,Outsource,Software Engineer (Back End),Freshgraduate_program,Bagus,Jakarta Selatan,LinkedIn,4,5.0,6.0,0.0,7.0,+6289640675xxx,debonairChile3133@gmail.com,Sarjana,1,,toxic_culture,1986-06-06,2016-6-30,2020-2-18,2017-12-12
boredEggs0,100326,Bercerai,Wanita,FullTime,Product Manager,Freshgraduate_program,Bagus,Jakarta Timur,Diversity_Job_Fair,3,4.0,0.0,0.0,12.0,+6283854646xxx,boredEggs0834@outlook.com,Sarjana,1,,ganti_karir,1974-01-12,2011-01-10,2017-1-30,2016-3-31
peskyJaguar5,110665,Belum_menikah,Wanita,FullTime,Software Engineer (Back End),Senior_level,Biasa,Jakarta Selatan,Indeed,4,5.0,0.0,0.0,14.0,+6289950860xxx,peskyJaguar5956@icloud.com,Sarjana,1,1.0,masih_bekerja,1988-11-08,2011-01-10,2020-1-27,-
similarCardinal3,105902,Menikah,Wanita,FullTime,Software Architect,Mid_level,Sangat_bagus,Jakarta Selatan,CareerBuilder,4,4.0,0.0,0.0,5.0,+6285696756xxx,similarCardinal3436@icloud.com,Sarjana,1,,masih_bekerja,1974-05-02,2014-05-12,2020-2-15,-
needfulZebra5,111703,Menikah,Pria,FullTime,Software Engineer (Back End),Freshgraduate_program,Sangat_bagus,Jakarta Pusat,Diversity_Job_Fair,3,3.0,4.0,0.0,9.0,+6285507346xxx,needfulZebra5962@gmail.com,Sarjana,1,,tidak_bisa_remote,1983-06-14,2013-2-18,2018-02-12,2015-4-15
cautiousOwl6,101100,Belum_menikah,Pria,FullTime,Software Engineer (Back End),Freshgraduate_program,Sangat_bagus,Jakarta Pusat,CareerBuilder,3,4.0,0.0,0.0,20.0,+6287717879xxx,cautiousOwl6613@proton.com,Sarjana,1,,masih_bekerja,1984-06-10,2016-01-05,2020-1-28,-
forsakenSalt3,100468,Bercerai,Pria,Outsource,Software Engineer (Front End),Freshgraduate_program,Bagus,Jakarta Utara,LinkedIn,4,3.0,0.0,0.0,14.0,+6281288888xxx,forsakenSalt3729@proton.com,Sarjana,1,,tidak_bisa_remote,1983-02-02,2014-3-31,2020-02-01,2020-8-19
gutturalDotterel4,110703,Belum_menikah,Wanita,Outsource,Software Engineer (Back End),Senior_level,Biasa,Jakarta Barat,Google_Search,1,3.0,0.0,5.0,19.0,+6283342582xxx,gutturalDotterel4945@icloud.com,Sarjana,1,,masih_bekerja,1989-05-06,2014-2-17,2018-1-15,-
cockyTruffle7,106494,Menikah,Pria,Outsource,Software Engineer (Back End),Mid_level,Biasa,Jakarta Pusat,Indeed,2,5.0,7.0,0.0,13.0,+6283185998xxx,cockyTruffle7952@icloud.com,Sarjana,1,,masih_bekerja,1973-04-05,2013-1-20,2020-2-18,-
resolvedCod5,110380,Belum_menikah,Pria,FullTime,Product Design (UI & UX),Freshgraduate_program,Biasa,Jakarta Pusat,Google_Search,4,,0.0,0.0,13.0,+6287879882xxx,resolvedCod5392@outlook.com,Sarjana,1,,masih_bekerja,1970-12-22,2012-04-02,2020-1-14,-
trustingCrane4,111198,Menikah,Pria,FullTime,Product Manager,Mid_level,Biasa,Jakarta Utara,Website,2,4.0,0.0,0.0,7.0,+6283126068xxx,trustingCrane4883@icloud.com,Sarjana,1,0.0,masih_bekerja,1984-07-01,2016-07-06,2020-1-29,-
abjectRuffs3,101652,Bercerai,Pria,FullTime,Software Engineer (Back End),Senior_level,Sangat_bagus,Jakarta Timur,Indeed,2,3.0,6.0,0.0,14.0,+6283157914xxx,abjectRuffs3176@proton.com,Sarjana,1,1.0,tidak_bahagia,1987-10-24,2017-4-20,2020-01-02,2020-9-26
guiltyCardinal3,110461,Belum_menikah,Wanita,FullTime,Software Engineer (Back End),Mid_level,Kurang,Jakarta Barat,Indeed,5,4.0,6.0,0.0,3.0,+6281383552xxx,guiltyCardinal3824@proton.com,Sarjana,1,0.0,masih_bekerja,1987-04-05,2013-11-11,2020-1-30,-
annoyedWhiting8,111276,Lainnya,Pria,FullTime,Product Design (UI & UX),Mid_level,Biasa,Jakarta Timur,LinkedIn,4,5.0,0.0,0.0,11.0,+6281272189xxx,annoyedWhiting8110@outlook.com,Magister,1,1.0,masih_bekerja,1977-04-08,2014-05-12,2020-2-18,-
jumpyBasmati9,111220,Belum_menikah,Pria,Internship,Product Manager,Freshgraduate_program,Sangat_bagus,Jakarta Pusat,LinkedIn,2,2.0,0.0,6.0,6.0,+6289878705xxx,jumpyBasmati9859@proton.com,Sarjana,1,0.0,leadership,1985-06-29,2011-8-15,2014-1-14,2018-9-15
grizzledDingo0,110580,Belum_menikah,Wanita,FullTime,Software Engineer (Back End),Senior_level,Sangat_bagus,Jakarta Timur,Indeed,4,4.0,0.0,0.0,8.0,+6289622388xxx,grizzledDingo0438@hotmail.com,Sarjana,1,1.0,masih_bekerja,1990-04-19,2014-05-05,2020-1-24,-
guiltyDoughnut4,111584,Belum_menikah,Wanita,Outsource,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Utara,LinkedIn,3,3.0,5.0,0.0,19.0,+6285858800xxx,guiltyDoughnut4476@yahoo.com,Doktor,1,1.0,masih_bekerja,1973-03-12,2011-06-10,2020-02-08,-
thrilledThrushe4,101154,Menikah,Pria,FullTime,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Selatan,Indeed,2,4.0,0.0,0.0,18.0,+6289793710xxx,thrilledThrushe4101@outlook.com,Sarjana,1,1.0,ganti_karir,1972-11-09,2012-9-24,2018-04-01,2017-11-14
giddyMandrill6,101274,Menikah,Pria,FullTime,Product Design (UI & UX),Mid_level,Biasa,Jakarta Utara,Employee_Referral,3,3.0,0.0,0.0,10.0,+6281272430xxx,giddyMandrill6475@gmail.com,Sarjana,1,1.0,jam_kerja,1983-03-28,2013-04-01,2017-03-06,2019-9-26
shamefulSalami8,101647,Bercerai,Pria,Outsource,Software Engineer (Back End),Mid_level,Biasa,Jakarta Pusat,LinkedIn,3,5.0,5.0,,1.0,+6285890385xxx,shamefulSalami8906@proton.com,Magister,1,1.0,masih_bekerja,1983-05-06,2014-07-07,2020-2-18,-
